iter	Accuracy	Logloss
0	0.8449613521	0.6349431568
1	0.8438890692	0.5857611148
2	0.8480435645	0.5448191958
3	0.8478872901	0.5109398171
4	0.8483008162	0.4836161992
5	0.8524192482	0.4611455443
6	0.8522293147	0.440740651
7	0.8525514804	0.4249645796
8	0.8520970825	0.4110633583
9	0.8529241348	0.3995650918
10	0.8531357063	0.3896426914
11	0.8532919807	0.3801150939
12	0.8533665116	0.3717820816
13	0.8534939354	0.3653509627
14	0.8537583997	0.3592910728
15	0.8541743301	0.3541682155
16	0.854162309	0.3500156508
17	0.8541550963	0.3461231477
18	0.8541911597	0.3424265872
19	0.8544604325	0.3391984426
20	0.8546695998	0.3366137367
21	0.8549124262	0.3339408447
22	0.8549148304	0.3314838039
23	0.8550422542	0.3295042938
24	0.8552057413	0.3277516351
25	0.8552995059	0.3261998176
26	0.8552297835	0.3245748266
27	0.8553956748	0.3230429474
28	0.8554317381	0.3217461875
29	0.8557154363	0.320656989
30	0.8558524769	0.3196451028
31	0.8555687788	0.3187651748
32	0.8556481181	0.3178718915
33	0.8558524769	0.3169349927
34	0.8559847091	0.3161257397
35	0.8561313667	0.3154041009
36	0.8561770469	0.3147972152
37	0.8563213002	0.3142631473
38	0.8563765973	0.3137493932
39	0.8564415113	0.313201595
40	0.8565569139	0.3127026075
41	0.8566458701	0.3122220788
42	0.8567035715	0.3117975966
43	0.8567300179	0.311454305
44	0.8568622501	0.3111073101
45	0.8568646543	0.3106051889
46	0.8568646543	0.3101747141
47	0.8569031219	0.3098753322
48	0.8568454206	0.3094732282
49	0.8569680359	0.3092400884
50	0.8569776528	0.3089723565
51	0.8569560148	0.3087074731
52	0.8570185245	0.3084882802
53	0.8571675863	0.3082368226
54	0.8571699905	0.3080537782
55	0.8573479029	0.3077726736
56	0.8573911789	0.3075960788
57	0.8574536887	0.3073922018
58	0.8575210069	0.307167762
59	0.8575859209	0.3070235226
60	0.8576436222	0.3068526361
61	0.8576388138	0.306643955
62	0.8576580475	0.3065119868
63	0.8577205573	0.3063771682
64	0.8577253657	0.3062368309
65	0.8577037277	0.3061199454
66	0.8578383642	0.3059836301
67	0.8579297246	0.3058856028
68	0.8579273204	0.3057214013
69	0.8580282977	0.3056092747
70	0.8579730006	0.3054395333
71	0.8580138724	0.3052912456
72	0.8580186808	0.3052036409
73	0.8580258935	0.3050664281
74	0.858064361	0.3049253823
75	0.8580667652	0.3048357056
76	0.8581773594	0.3047257803
77	0.8582086143	0.3046534512
78	0.8582615072	0.3045777318
79	0.8582711241	0.304483599
80	0.8581845721	0.3044186537
81	0.8582975705	0.3043557715
82	0.8583312296	0.3042907198
83	0.8583360381	0.304232495
84	0.8584273985	0.3041730231
85	0.8583865267	0.3041128466
86	0.858388931	0.3040687418
87	0.8584442281	0.3040199519
88	0.8584658661	0.3039719525
89	0.8584923125	0.3038947277
90	0.8585355885	0.3038215758
91	0.8585091421	0.3037621132
92	0.8585403969	0.3037147602
93	0.8585428012	0.3036472158
94	0.8585932898	0.3035863909
95	0.8586894587	0.3035367696
96	0.8587110967	0.3034789716
97	0.8587399473	0.3034086445
98	0.8587062882	0.3033639418
99	0.8586990756	0.3033096285
100	0.8587279262	0.3032701722
101	0.8587423516	0.3032244583
102	0.8587615853	0.3031732401
103	0.8588192867	0.3031214093
104	0.8588264993	0.3030540622
