iter	Passed	Remaining
0	175	175304
1	205	102483
2	233	77693
3	263	65562
4	290	57872
5	319	52903
6	348	49453
7	378	46941
8	409	45085
9	440	43588
10	467	42033
11	495	40821
12	523	39729
13	552	38901
14	578	38010
15	607	37332
16	631	36513
17	661	36063
18	689	35582
19	717	35179
20	746	34779
21	771	34284
22	798	33924
23	825	33562
24	853	33300
25	879	32953
26	907	32691
27	936	32503
28	962	32237
29	987	31927
30	1016	31771
31	1042	31538
32	1074	31481
33	1103	31361
34	1132	31219
35	1161	31108
36	1189	30966
37	1217	30809
38	1243	30652
39	1269	30465
40	1296	30324
41	1326	30251
42	1354	30152
43	1384	30071
44	1412	29974
45	1442	29908
46	1471	29834
47	1501	29770
48	1531	29728
49	1560	29657
50	1590	29594
51	1615	29450
52	1642	29344
53	1669	29253
54	1697	29168
55	1725	29093
56	1753	29015
57	1783	28968
58	1808	28851
59	1835	28756
60	1865	28715
61	1893	28651
62	1921	28576
63	1949	28507
64	1979	28472
65	2005	28379
66	2034	28327
67	2059	28228
68	2085	28144
69	2112	28061
70	2140	28007
71	2170	27970
72	2201	27954
73	2231	27927
74	2258	27858
75	2286	27793
76	2310	27696
77	2338	27637
78	2367	27602
79	2396	27554
80	2421	27472
81	2448	27410
82	2478	27378
83	2506	27334
84	2531	27255
85	2557	27177
86	2586	27141
87	2616	27116
88	2641	27037
89	2670	27002
90	2699	26963
91	2727	26920
92	2752	26844
93	2776	26763
94	2803	26702
95	2828	26633
96	2856	26592
97	2882	26531
98	2914	26525
99	2943	26491
100	2972	26456
101	3004	26448
102	3033	26414
103	3063	26392
104	3092	26357
105	3122	26336
106	3146	26259
107	3172	26199
108	3201	26167
109	3230	26140
110	3262	26130
111	3291	26093
112	3319	26053
113	3346	26011
114	3375	25974
115	3405	25953
116	3430	25888
117	3455	25831
118	3483	25791
119	3510	25742
120	3537	25694
121	3563	25649
122	3591	25608
123	3620	25580
124	3649	25546
125	3677	25512
126	3702	25452
127	3727	25393
128	3752	25337
129	3780	25299
130	3804	25237
131	3832	25202
132	3859	25161
133	3885	25113
134	3909	25050
135	3941	25037
136	3968	24997
137	3992	24940
138	4019	24900
139	4050	24883
140	4078	24844
141	4105	24807
142	4129	24749
143	4156	24708
144	4186	24684
145	4211	24637
146	4243	24621
147	4270	24581
148	4295	24534
149	4325	24513
150	4355	24490
151	4381	24444
152	4410	24418
153	4442	24403
154	4466	24349
155	4491	24302
156	4517	24256
157	4544	24217
158	4567	24160
159	4597	24134
160	4622	24088
161	4648	24046
162	4670	23985
163	4693	23925
164	4721	23894
165	4748	23856
166	4777	23827
167	4805	23801
168	4831	23759
169	4862	23738
170	4892	23717
171	4917	23670
172	4942	23629
173	4970	23596
174	5006	23600
175	5041	23601
176	5067	23564
177	5096	23534
178	5120	23485
179	5145	23442
180	5171	23401
181	5199	23368
182	5229	23349
183	5257	23315
184	5285	23284
185	5312	23247
186	5338	23210
187	5367	23184
188	5392	23137
189	5424	23125
190	5452	23095
191	5479	23061
192	5509	23037
193	5541	23022
194	5573	23007
195	5601	22977
196	5632	22957
197	5656	22910
198	5683	22876
199	5710	22843
200	5740	22820
201	5769	22792
202	5797	22762
203	5822	22719
204	5847	22678
